"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule large display\Meetmodule V2.kicad_sch"
"Date:","19-12-2022 17:48:49"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"","","R13","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R14","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R15","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R16","4k7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R17","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R18","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R19","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R20","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R21","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R22","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R23","12K/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R24","300R/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R25","1M","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R26","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R27","4R7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R28","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R29","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R30","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","SW1","BOOTSEL","Switch:SW_Push","HPT:Switch","~","","","",""
"","","SW2","RESET","Switch:SW_Push","HPT:Switch","~","","","",""
"","","SW3","Display","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","",""
"","","U1","NCP1117-3.3_TO252","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","",""
"","","U2","USB6B1","Power_Protection:USB6B1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/3e/ec/b2/54/b2/76/47/90/CD00001361.pdf/files/CD00001361.pdf/jcr:content/translations/en.CD00001361.pdf","","","",""
"","","U3","RP2040","MCU_RaspberryPi:RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","","","",""
"","","U4","W25Q16JVUXIQ","HPT:W25Q16JVUXIQ","SON50P300X200X60-9N","","SPIFLASH, 3V, 16M-BIT, 4KB UNIFO","0.6mm","Winbond","W25Q16JVUXIQ"
"","","U5","W5100S","HPT:W5100S","HPT:LQFP48","","","","",""
"","","U6","SCD4x","HPT:SCD4x","HPT:SDC4x","","","","",""
"","","U7","SGP41","HPT:SGP41","HPT:XDCR_SGP41-D-R4","","","","",""
"","","U8","SHT4x","HPT:SHT4x","HPT:SHT4x","","","","",""
"","","Y1","12MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
"","","Y2","25MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~","","","",""
"2","25","C1, C2, C3, C4, C5, C6, C7, C8, C9, C15, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C32, C36, C39","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"3","2","C10, C11","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"4","7","C12, C13, C14, C24, C31, C37, C38","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"5","2","C16, C17","15pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"6","1","C33","1nF/2kV","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"7","2","C34, C35","18pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"8","2","D1, D2","BAT60A","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","","","",""
